"Plot Title: cur_est_05m_2022"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20700386, SEN S/N: 20700386)","Coupler Detached (LGR S/N: 20700386)","Coupler Attached (LGR S/N: 20700386)","Host Connected (LGR S/N: 20700386)","Stopped (LGR S/N: 20700386)","End Of File (LGR S/N: 20700386)"
1,11/28/21 07:45:00 PM,30.243,Logged,,,,
2,11/28/21 08:15:00 PM,30.016,,,,,
3,11/28/21 08:45:00 PM,29.565,,,,,
4,11/28/21 09:15:00 PM,29.290,,,,,
5,11/28/21 09:45:00 PM,29.140,,,,,
6,11/28/21 10:15:00 PM,29.040,,,,,
7,11/28/21 10:45:00 PM,28.941,,,,,
8,11/28/21 11:15:00 PM,28.866,,,,,
9,11/28/21 11:45:00 PM,28.990,,,,,
10,11/29/21 12:15:00 AM,28.965,,,,,
11,11/29/21 12:45:00 AM,28.916,,,,,
12,11/29/21 01:15:00 AM,28.841,,,,,
13,11/29/21 01:45:00 AM,28.766,,,,,
14,11/29/21 02:15:00 AM,28.717,,,,,
15,11/29/21 02:45:00 AM,28.642,,,,,
16,11/29/21 03:15:00 AM,28.568,,,,,
17,11/29/21 03:45:00 AM,28.518,,,,,
18,11/29/21 04:15:00 AM,28.444,,,,,
19,11/29/21 04:45:00 AM,28.394,,,,,
20,11/29/21 05:15:00 AM,28.345,,,,,
21,11/29/21 05:45:00 AM,28.295,,,,,
22,11/29/21 06:15:00 AM,28.270,,,,,
23,11/29/21 06:45:00 AM,28.221,,,,,
24,11/29/21 07:15:00 AM,28.221,,,,,
25,11/29/21 07:45:00 AM,28.245,,,,,
26,11/29/21 08:15:00 AM,28.419,,,,,
27,11/29/21 08:45:00 AM,30.571,,,,,
28,11/29/21 09:15:00 AM,31.714,,,,,
29,11/29/21 09:45:00 AM,31.382,,,,,
30,11/29/21 10:15:00 AM,31.663,,,,,
31,11/29/21 10:45:00 AM,31.893,,,,,
32,11/29/21 11:15:00 AM,33.835,,,,,
33,11/29/21 11:45:00 AM,32.330,,,,,
34,11/29/21 12:15:00 PM,28.692,,,,,
35,11/29/21 12:45:00 PM,28.270,,,,,
36,11/29/21 01:15:00 PM,28.171,,,,,
37,11/29/21 01:45:00 PM,28.295,,,,,
38,11/29/21 02:15:00 PM,28.742,,,,,
39,11/29/21 02:45:00 PM,28.320,,,,,
40,11/29/21 03:15:00 PM,28.320,,,,,
41,11/29/21 03:45:00 PM,28.221,,,,,
42,11/29/21 04:15:00 PM,28.295,,,,,
43,11/29/21 04:45:00 PM,28.295,,,,,
44,11/29/21 05:15:00 PM,28.270,,,,,
45,11/29/21 05:45:00 PM,28.270,,,,,
46,11/29/21 06:15:00 PM,28.270,,,,,
47,11/29/21 06:45:00 PM,28.270,,,,,
48,11/29/21 07:15:00 PM,28.270,,,,,
49,11/29/21 07:45:00 PM,28.245,,,,,
50,11/29/21 08:15:00 PM,28.270,,,,,
51,11/29/21 08:45:00 PM,28.270,,,,,
52,11/29/21 09:15:00 PM,28.270,,,,,
53,11/29/21 09:45:00 PM,28.221,,,,,
54,11/29/21 10:15:00 PM,28.221,,,,,
55,11/29/21 10:45:00 PM,28.221,,,,,
56,11/29/21 11:15:00 PM,28.221,,,,,
57,11/29/21 11:45:00 PM,28.196,,,,,
58,11/30/21 12:15:00 AM,28.196,,,,,
59,11/30/21 12:45:00 AM,28.196,,,,,
60,11/30/21 01:15:00 AM,28.196,,,,,
61,11/30/21 01:45:00 AM,28.147,,,,,
62,11/30/21 02:15:00 AM,28.072,,,,,
63,11/30/21 02:45:00 AM,28.097,,,,,
64,11/30/21 03:15:00 AM,28.147,,,,,
65,11/30/21 03:45:00 AM,28.171,,,,,
66,11/30/21 04:15:00 AM,28.147,,,,,
67,11/30/21 04:45:00 AM,28.171,,,,,
68,11/30/21 05:15:00 AM,28.147,,,,,
69,11/30/21 05:45:00 AM,28.147,,,,,
70,11/30/21 06:15:00 AM,28.171,,,,,
71,11/30/21 06:45:00 AM,28.147,,,,,
72,11/30/21 07:15:00 AM,28.147,,,,,
73,11/30/21 07:45:00 AM,28.147,,,,,
74,11/30/21 08:15:00 AM,28.147,,,,,
75,11/30/21 08:45:00 AM,28.171,,,,,
76,11/30/21 09:15:00 AM,28.221,,,,,
77,11/30/21 09:45:00 AM,28.196,,,,,
78,11/30/21 10:15:00 AM,28.196,,,,,
79,11/30/21 10:45:00 AM,28.196,,,,,
80,11/30/21 11:15:00 AM,28.196,,,,,
81,11/30/21 11:45:00 AM,28.221,,,,,
82,11/30/21 12:15:00 PM,28.245,,,,,
83,11/30/21 12:45:00 PM,28.245,,,,,
84,11/30/21 01:15:00 PM,28.245,,,,,
85,11/30/21 01:45:00 PM,28.270,,,,,
86,11/30/21 02:15:00 PM,28.270,,,,,
87,11/30/21 02:45:00 PM,28.270,,,,,
88,11/30/21 03:15:00 PM,28.270,,,,,
89,11/30/21 03:45:00 PM,28.295,,,,,
90,11/30/21 04:15:00 PM,28.270,,,,,
91,11/30/21 04:45:00 PM,28.221,,,,,
92,11/30/21 05:15:00 PM,28.221,,,,,
93,11/30/21 05:45:00 PM,28.221,,,,,
94,11/30/21 06:15:00 PM,28.221,,,,,
95,11/30/21 06:45:00 PM,28.196,,,,,
96,11/30/21 07:15:00 PM,28.171,,,,,
97,11/30/21 07:45:00 PM,28.171,,,,,
98,11/30/21 08:15:00 PM,28.171,,,,,
99,11/30/21 08:45:00 PM,28.196,,,,,
100,11/30/21 09:15:00 PM,28.196,,,,,
101,11/30/21 09:45:00 PM,28.196,,,,,
102,11/30/21 10:15:00 PM,28.171,,,,,
103,11/30/21 10:45:00 PM,28.221,,,,,
104,11/30/21 11:15:00 PM,28.196,,,,,
105,11/30/21 11:45:00 PM,28.147,,,,,
106,12/01/21 12:15:00 AM,28.147,,,,,
107,12/01/21 12:45:00 AM,28.196,,,,,
108,12/01/21 01:15:00 AM,28.196,,,,,
109,12/01/21 01:45:00 AM,28.171,,,,,
110,12/01/21 02:15:00 AM,28.196,,,,,
111,12/01/21 02:45:00 AM,28.196,,,,,
112,12/01/21 03:15:00 AM,28.122,,,,,
113,12/01/21 03:45:00 AM,28.147,,,,,
114,12/01/21 04:15:00 AM,28.147,,,,,
115,12/01/21 04:45:00 AM,28.122,,,,,
116,12/01/21 05:15:00 AM,27.974,,,,,
117,12/01/21 05:45:00 AM,28.048,,,,,
118,12/01/21 06:15:00 AM,28.171,,,,,
119,12/01/21 06:45:00 AM,28.196,,,,,
120,12/01/21 07:15:00 AM,28.196,,,,,
121,12/01/21 07:45:00 AM,28.196,,,,,
122,12/01/21 08:15:00 AM,28.196,,,,,
123,12/01/21 08:45:00 AM,28.196,,,,,
124,12/01/21 09:15:00 AM,28.171,,,,,
125,12/01/21 09:45:00 AM,28.196,,,,,
126,12/01/21 10:15:00 AM,28.221,,,,,
127,12/01/21 10:45:00 AM,28.221,,,,,
128,12/01/21 11:15:00 AM,28.221,,,,,
129,12/01/21 11:45:00 AM,28.221,,,,,
130,12/01/21 12:15:00 PM,28.221,,,,,
131,12/01/21 12:45:00 PM,28.221,,,,,
132,12/01/21 01:15:00 PM,28.245,,,,,
133,12/01/21 01:45:00 PM,28.270,,,,,
134,12/01/21 02:15:00 PM,28.394,,,,,
135,12/01/21 02:45:00 PM,28.320,,,,,
136,12/01/21 03:15:00 PM,28.245,,,,,
137,12/01/21 03:45:00 PM,28.221,,,,,
138,12/01/21 04:15:00 PM,28.221,,,,,
139,12/01/21 04:45:00 PM,28.245,,,,,
140,12/01/21 05:15:00 PM,28.245,,,,,
141,12/01/21 05:45:00 PM,28.245,,,,,
142,12/01/21 06:15:00 PM,28.245,,,,,
143,12/01/21 06:45:00 PM,28.221,,,,,
144,12/01/21 07:15:00 PM,28.221,,,,,
145,12/01/21 07:45:00 PM,28.221,,,,,
146,12/01/21 08:15:00 PM,28.196,,,,,
147,12/01/21 08:45:00 PM,28.196,,,,,
148,12/01/21 09:15:00 PM,28.196,,,,,
149,12/01/21 09:45:00 PM,28.196,,,,,
150,12/01/21 10:15:00 PM,28.196,,,,,
151,12/01/21 10:45:00 PM,28.196,,,,,
152,12/01/21 11:15:00 PM,28.196,,,,,
153,12/01/21 11:45:00 PM,28.196,,,,,
154,12/02/21 12:15:00 AM,28.196,,,,,
155,12/02/21 12:45:00 AM,28.196,,,,,
156,12/02/21 01:15:00 AM,28.196,,,,,
157,12/02/21 01:45:00 AM,28.196,,,,,
158,12/02/21 02:15:00 AM,28.196,,,,,
159,12/02/21 02:45:00 AM,28.196,,,,,
160,12/02/21 03:15:00 AM,28.196,,,,,
161,12/02/21 03:45:00 AM,28.196,,,,,
162,12/02/21 04:15:00 AM,28.171,,,,,
163,12/02/21 04:45:00 AM,28.097,,,,,
164,12/02/21 05:15:00 AM,28.147,,,,,
165,12/02/21 05:45:00 AM,28.171,,,,,
166,12/02/21 06:15:00 AM,28.171,,,,,
167,12/02/21 06:45:00 AM,28.122,,,,,
168,12/02/21 07:15:00 AM,28.097,,,,,
169,12/02/21 07:45:00 AM,28.072,,,,,
170,12/02/21 08:15:00 AM,28.072,,,,,
171,12/02/21 08:45:00 AM,28.072,,,,,
172,12/02/21 09:15:00 AM,28.097,,,,,
173,12/02/21 09:45:00 AM,28.122,,,,,
174,12/02/21 10:15:00 AM,28.147,,,,,
175,12/02/21 10:45:00 AM,28.171,,,,,
176,12/02/21 11:15:00 AM,28.196,,,,,
177,12/02/21 11:45:00 AM,28.221,,,,,
178,12/02/21 12:15:00 PM,28.196,,,,,
179,12/02/21 12:45:00 PM,28.221,,,,,
180,12/02/21 01:15:00 PM,28.245,,,,,
181,12/02/21 01:45:00 PM,28.171,,,,,
182,12/02/21 02:15:00 PM,28.171,,,,,
183,12/02/21 02:45:00 PM,28.171,,,,,
184,12/02/21 03:15:00 PM,28.196,,,,,
185,12/02/21 03:45:00 PM,28.221,,,,,
186,12/02/21 04:15:00 PM,28.221,,,,,
187,12/02/21 04:45:00 PM,28.245,,,,,
188,12/02/21 05:15:00 PM,28.221,,,,,
189,12/02/21 05:45:00 PM,28.245,,,,,
190,12/02/21 06:15:00 PM,28.221,,,,,
191,12/02/21 06:45:00 PM,28.196,,,,,
192,12/02/21 07:15:00 PM,28.196,,,,,
193,12/02/21 07:45:00 PM,28.196,,,,,
194,12/02/21 08:15:00 PM,28.196,,,,,
195,12/02/21 08:45:00 PM,28.171,,,,,
196,12/02/21 09:15:00 PM,28.171,,,,,
197,12/02/21 09:45:00 PM,28.171,,,,,
198,12/02/21 10:15:00 PM,28.147,,,,,
