"Plot Title: 20700400_SiteH_60m_2022b"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20700400, SEN S/N: 20700400)","Coupler Detached (LGR S/N: 20700400)","Coupler Attached (LGR S/N: 20700400)","Host Connected (LGR S/N: 20700400)","Stopped (LGR S/N: 20700400)","End Of File (LGR S/N: 20700400)"
1,05/18/22 05:00:00 PM,31.510,Logged,,,,
2,05/18/22 05:30:00 PM,31.281,,,,,
3,05/18/22 06:00:00 PM,31.103,,,,,
4,05/18/22 06:30:00 PM,31.001,,,,,
5,05/18/22 07:00:00 PM,30.976,,,,,
6,05/18/22 07:30:00 PM,30.976,,,,,
7,05/18/22 08:00:00 PM,30.672,,,,,
8,05/18/22 08:30:00 PM,30.596,,,,,
9,05/18/22 09:00:00 PM,30.520,,,,,
10,05/18/22 09:30:00 PM,30.343,,,,,
11,05/18/22 10:00:00 PM,30.268,,,,,
12,05/18/22 10:30:00 PM,30.369,,,,,
13,05/18/22 11:00:00 PM,30.849,,,,,
14,05/18/22 11:30:00 PM,31.052,,,,,
15,05/19/22 12:00:00 AM,31.179,,,,,
16,05/19/22 12:30:00 AM,31.255,,,,,
17,05/19/22 01:00:00 AM,31.281,,,,,
18,05/19/22 01:30:00 AM,31.128,,,,,
19,05/19/22 02:00:00 AM,31.204,,,,,
20,05/19/22 02:30:00 AM,31.204,,,,,
21,05/19/22 03:00:00 AM,31.204,,,,,
22,05/19/22 03:30:00 AM,31.204,,,,,
23,05/19/22 04:00:00 AM,31.179,,,,,
24,05/19/22 04:30:00 AM,31.128,,,,,
25,05/19/22 05:00:00 AM,31.128,,,,,
26,05/19/22 05:30:00 AM,31.077,,,,,
27,05/19/22 06:00:00 AM,31.052,,,,,
28,05/19/22 06:30:00 AM,31.026,,,,,
29,05/19/22 07:00:00 AM,31.026,,,,,
30,05/19/22 07:30:00 AM,31.052,,,,,
31,05/19/22 08:00:00 AM,30.773,,,,,
32,05/19/22 08:30:00 AM,30.444,,,,,
33,05/19/22 09:00:00 AM,31.459,,,,,
34,05/19/22 09:30:00 AM,35.022,,,,,
35,05/19/22 10:00:00 AM,38.504,,,,,
36,05/19/22 10:30:00 AM,37.015,,,,,
37,05/19/22 11:00:00 AM,33.209,,,,,
38,05/19/22 11:30:00 AM,32.924,,,,,
39,05/19/22 12:00:00 PM,36.065,,,,,
40,05/19/22 12:30:00 PM,35.877,,,,,
41,05/19/22 01:00:00 PM,39.601,,,,,
42,05/19/22 01:30:00 PM,29.690,,,,,
43,05/19/22 02:00:00 PM,27.456,,,,,
44,05/19/22 02:30:00 PM,27.333,,,,,
45,05/19/22 03:00:00 PM,27.358,,,,,
46,05/19/22 03:30:00 PM,27.358,,,,,
47,05/19/22 04:00:00 PM,27.333,,,,,
48,05/19/22 04:30:00 PM,27.333,,,,,
49,05/19/22 05:00:00 PM,27.358,,,,,
50,05/19/22 05:30:00 PM,27.259,,,,,
51,05/19/22 06:00:00 PM,27.308,,,,,
52,05/19/22 06:30:00 PM,27.358,,,,,
53,05/19/22 07:00:00 PM,27.358,,,,,
54,05/19/22 07:30:00 PM,27.382,,,,,
55,05/19/22 08:00:00 PM,27.382,,,,,
56,05/19/22 08:30:00 PM,27.382,,,,,
57,05/19/22 09:00:00 PM,27.333,,,,,
58,05/19/22 09:30:00 PM,27.333,,,,,
59,05/19/22 10:00:00 PM,27.333,,,,,
60,05/19/22 10:30:00 PM,27.333,,,,,
61,05/19/22 11:00:00 PM,27.333,,,,,
62,05/19/22 11:30:00 PM,27.333,,,,,
63,05/20/22 12:00:00 AM,27.333,,,,,
64,05/20/22 12:30:00 AM,27.358,,,,,
65,05/20/22 01:00:00 AM,27.333,,,,,
66,05/20/22 01:30:00 AM,27.333,,,,,
67,05/20/22 02:00:00 AM,27.333,,,,,
68,05/20/22 02:30:00 AM,27.284,,,,,
69,05/20/22 03:00:00 AM,27.235,,,,,
70,05/20/22 03:30:00 AM,27.259,,,,,
71,05/20/22 04:00:00 AM,27.235,,,,,
72,05/20/22 04:30:00 AM,27.210,,,,,
73,05/20/22 05:00:00 AM,27.161,,,,,
74,05/20/22 05:30:00 AM,27.235,,,,,
75,05/20/22 06:00:00 AM,27.235,,,,,
76,05/20/22 06:30:00 AM,27.259,,,,,
77,05/20/22 07:00:00 AM,27.259,,,,,
78,05/20/22 07:30:00 AM,27.259,,,,,
79,05/20/22 08:00:00 AM,27.284,,,,,
80,05/20/22 08:30:00 AM,27.333,,,,,
81,05/20/22 09:00:00 AM,27.333,,,,,
82,05/20/22 09:30:00 AM,27.358,,,,,
83,05/20/22 10:00:00 AM,27.382,,,,,
84,05/20/22 10:30:00 AM,27.407,,,,,
85,05/20/22 11:00:00 AM,27.431,,,,,
86,05/20/22 11:30:00 AM,27.308,,,,,
87,05/20/22 12:00:00 PM,27.431,,,,,
88,05/20/22 12:30:00 PM,27.431,,,,,
89,05/20/22 01:00:00 PM,27.407,,,,,
90,05/20/22 01:30:00 PM,27.407,,,,,
91,05/20/22 02:00:00 PM,27.431,,,,,
92,05/20/22 02:30:00 PM,27.358,,,,,
93,05/20/22 03:00:00 PM,27.308,,,,,
94,05/20/22 03:30:00 PM,27.308,,,,,
95,05/20/22 04:00:00 PM,27.333,,,,,
96,05/20/22 04:30:00 PM,27.358,,,,,
97,05/20/22 05:00:00 PM,27.382,,,,,
